algo,name,num_seeds,epochs,batch_size,train_mae,test_mae,train_mse,test_mse,train_reward_rl,test_reward_rl
PPO,adni_fold0,5,1000.0,1000.0,1.665,1.68,3.802,3.668,-6.313,-6.079
PPO,adni_fold1,5,1000.0,1000.0,1.428,1.42,3.589,3.565,-4.884,-16.168
PPO,adni_fold2,5,1000.0,1000.0,1.794,1.813,4.764,4.941,-67.864,-57.332
PPO,adni_fold3,5,1000.0,1000.0,1.46,1.415,3.637,3.301,-79.386,-59.502
PPO,adni_fold4,5,1000.0,1000.0,1.782,1.738,4.912,4.7,-5.096,-8.546
TRPO,adni_fold0,5,1000.0,1000.0,0.712,0.573,1.015,0.541,-4.544,-6.08
TRPO,adni_fold1,5,1000.0,1000.0,0.603,0.577,0.967,1.04,-3.68,-6.065
TRPO,adni_fold2,5,1000.0,1000.0,0.549,0.555,0.659,0.65,-3.837,-3.67
TRPO,adni_fold3,5,1000.0,1000.0,0.55,0.581,0.898,0.844,-3.763,-3.523
TRPO,adni_fold4,5,1000.0,1000.0,0.534,0.6,0.603,1.028,-4.325,-16.279
