algo,name,seed,epochs,batch_size,train_mae,test_mae,train_mse,test_mse,train_reward_rl,test_reward_rl
PPO,adni_fold0,1,1000,1000,1.87,1.891,4.003,3.925,-4.892,-4.905
PPO,adni_fold0,2,1000,1000,1.713,1.702,3.526,3.299,-4.811,-4.812
PPO,adni_fold0,3,1000,1000,2.116,2.195,7.228,7.096,-5.593,-5.758
PPO,adni_fold0,4,1000,1000,1.261,1.246,1.892,1.778,-8.005,-4.475
PPO,adni_fold0,5,1000,1000,1.363,1.365,2.361,2.244,-8.264,-10.444
PPO,adni_fold1,1,1000,1000,1.952,2.034,4.856,5.19,-5.103,-10.785
PPO,adni_fold1,2,1000,1000,1.156,1.107,2.619,2.459,-4.988,-15.932
PPO,adni_fold1,3,1000,1000,1.696,1.616,6.437,6.046,-5.401,-28.112
PPO,adni_fold1,4,1000,1000,1.202,1.204,1.936,1.991,-4.517,-15.862
PPO,adni_fold1,5,1000,1000,1.136,1.14,2.095,2.141,-4.411,-10.148
PPO,adni_fold2,1,1000,1000,0.628,0.542,1.018,0.74,-309.546,-266.009
PPO,adni_fold2,2,1000,1000,2.275,2.352,7.291,7.923,-5.715,-5.667
PPO,adni_fold2,3,1000,1000,1.695,1.73,4.248,4.398,-4.816,-4.781
PPO,adni_fold2,4,1000,1000,2.583,2.653,7.52,7.907,-5.468,-5.406
PPO,adni_fold2,5,1000,1000,1.791,1.786,3.744,3.735,-13.775,-4.796
PPO,adni_fold3,1,1000,1000,1.678,1.618,3.338,3.095,-4.871,-4.725
PPO,adni_fold3,2,1000,1000,1.275,1.228,2.092,1.913,-4.636,-4.425
PPO,adni_fold3,3,1000,1000,1.565,1.501,2.902,2.643,-6.487,-4.538
PPO,adni_fold3,4,1000,1000,2.179,2.081,8.855,7.835,-5.603,-5.433
PPO,adni_fold3,5,1000,1000,0.602,0.649,0.998,1.018,-375.332,-278.388
PPO,adni_fold4,1,1000,1000,1.289,1.406,4.155,4.624,-5.014,-10.849
PPO,adni_fold4,2,1000,1000,2.985,2.786,11.361,10.237,-6.261,-6.156
PPO,adni_fold4,3,1000,1000,1.617,1.491,3.585,3.142,-4.968,-5.01
PPO,adni_fold4,4,1000,1000,1.742,1.719,3.482,3.432,-4.703,-4.786
PPO,adni_fold4,5,1000,1000,1.277,1.29,1.979,2.065,-4.532,-15.927
TRPO,adni_fold0,1,1000,1000,0.658,0.548,0.8,0.409,-3.867,-3.856
TRPO,adni_fold0,2,1000,1000,0.632,0.455,0.796,0.293,-7.373,-9.457
TRPO,adni_fold0,3,1000,1000,0.553,0.408,0.907,0.329,-3.557,-9.2
TRPO,adni_fold0,4,1000,1000,0.619,0.499,0.907,0.496,-3.727,-3.777
TRPO,adni_fold0,5,1000,1000,1.096,0.953,1.664,1.18,-4.197,-4.111
TRPO,adni_fold1,1,1000,1000,0.62,0.588,1.027,1.264,-3.65,-3.775
TRPO,adni_fold1,2,1000,1000,0.585,0.554,0.903,0.993,-3.699,-3.82
TRPO,adni_fold1,3,1000,1000,0.59,0.576,0.936,0.904,-3.707,-9.476
TRPO,adni_fold1,4,1000,1000,0.598,0.569,0.936,0.762,-3.704,-9.497
TRPO,adni_fold1,5,1000,1000,0.621,0.599,1.032,1.277,-3.64,-3.757
TRPO,adni_fold2,1,1000,1000,0.609,0.598,0.735,0.664,-3.886,-3.731
TRPO,adni_fold2,2,1000,1000,0.506,0.554,0.601,0.72,-3.831,-3.662
TRPO,adni_fold2,3,1000,1000,0.553,0.538,0.681,0.621,-3.813,-3.648
TRPO,adni_fold2,4,1000,1000,0.549,0.559,0.628,0.632,-3.867,-3.698
TRPO,adni_fold2,5,1000,1000,0.529,0.525,0.652,0.615,-3.786,-3.612
TRPO,adni_fold3,1,1000,1000,0.576,0.587,1.032,0.849,-3.727,-3.489
TRPO,adni_fold3,2,1000,1000,0.56,0.6,0.913,0.876,-3.758,-3.513
TRPO,adni_fold3,3,1000,1000,0.535,0.563,0.805,0.792,-3.804,-3.578
TRPO,adni_fold3,4,1000,1000,0.539,0.608,0.819,0.92,-3.763,-3.497
TRPO,adni_fold3,5,1000,1000,0.54,0.548,0.923,0.784,-3.765,-3.539
TRPO,adni_fold4,1,1000,1000,0.594,0.627,0.658,0.918,-3.714,-15.214
TRPO,adni_fold4,2,1000,1000,0.52,0.542,0.623,0.857,-5.392,-20.851
TRPO,adni_fold4,3,1000,1000,0.516,0.598,0.501,0.933,-5.497,-26.518
TRPO,adni_fold4,4,1000,1000,0.53,0.681,0.661,1.453,-3.486,-3.742
TRPO,adni_fold4,5,1000,1000,0.508,0.55,0.572,0.98,-3.535,-15.068
